"AT1G01010","ANAC001"
"AT1G01020","ARV1"
"AT1G01030","NGA3"
"AT1G01040","ASU1"
"AT1G01050","AtPPa1"
"AT1G01060","LHY"
"AT1G01070","UMAMIT28"
"AT1G01073","AT1G01073"
"AT1G01080","AT1G01080"
"AT1G01090","PDH-E1 ALPHA"
"AT1G01100","AT1G01100"
"AT1G01110","IQD18"
"AT1G01115","AT1G01115"
"AT1G01120","KCS1"
"AT1G01130","AT1G01130"
"AT1G01140","CIPK9"
"AT1G01150","AT1G01150"
"AT1G01160","GIF2"
"AT1G01170","AT1G01170"
"AT1G01180","AT1G01180"
"AT1G01190","CYP78A8"
"AT1G01200","ATRAB-A3"
"AT1G01210","AT1G01210"
"AT1G01220","AtFKGP"
"AT1G01225","AT1G01225"
"AT1G01230","AT1G01230"
"AT1G01240","AT1G01240"
"AT1G01250","AT1G01250"
"AT1G01260","JAM2"
"AT1G01280","CYP703"
"AT1G01290","CNX3"
"AT1G01300","AT1G01300"
"AT1G01305","AT1G01305"
"AT1G01310","AT1G01310"
"AT1G01320","AT1G01320"
"AT1G01340","ACBK1"
"AT1G01350","AT1G01350"
"AT1G01355","AT1G01355"
"AT1G01360","PYL9"
"AT1G01370","CENH3"
"AT1G01380","ETC1"
"AT1G01390","AT1G01390"
"AT1G01400","AT1G01400"
"AT1G01410","APUM22"
"AT1G01420","UGT72B3"
"AT1G01430","TBL25"
"AT1G01440","AT1G01440"
"AT1G01450","AT1G01450"
"AT1G01453","AT1G01453"
"AT1G01460","ATPIPK11"
"AT1G01470","LEA14"
"AT1G01471","AT1G01471"
"AT1G01480","ACS2"
"AT1G01490","AT1G01490"
"AT1G01500","AT1G01500"
"AT1G01510","AN"
"AT1G01520","ASG4"
"AT1G01530","AGL28"
"AT1G01540","AT1G01540"
"AT1G01550","BPS1"
"AT1G01560","ATMPK11"
"AT1G01570","AT1G01570"
"AT1G01580","ATFRO2"
"AT1G01590","ATFRO1"
"AT1G01600","CYP86A4"
"AT1G01610","ATGPAT4"
"AT1G01620","PIP1;3"
"AT1G01630","AT1G01630"
"AT1G01640","AT1G01640"
"AT1G01650","ATSPPL4"
"AT1G01660","AT1G01660"
"AT1G01670","AT1G01670"
"AT1G01680","ATPUB54"
"AT1G01690","ATPRD3"
"AT1G01695","TRM33"
"AT1G01700","ATROPGEF2"
"AT1G01710","AT1G01710"
"AT1G01720","ANAC002"
"AT1G01725","AT1G01725"
"AT1G01730","AT1G01730"
"AT1G01740","BSK4"
"AT1G01750","ADF11"
"AT1G01760","AtTAD1"
"AT1G01770","AT1G01770"
"AT1G01780","PLIM2b"
"AT1G01790","ATKEA1"
"AT1G01800","AT1G01800"
"AT1G01810","AT1G01810"
"AT1G01820","PEX11C"
"AT1G01830","AT1G01830"
"AT1G01840","AT1G01840"
"AT1G01860","PFC1"
"AT1G01880","AT1G01880"
"AT1G01900","ATSBT1.1"
"AT1G01910","AT1G01910"
"AT1G01920","AT1G01920"
"AT1G01930","AT1G01930"
"AT1G01940","AT1G01940"
"AT1G01950","ARK2"
"AT1G01960","EDA10"
"AT1G01970","AT1G01970"
"AT1G01980","AT1G01980"
"AT1G01990","AT1G01990"
"AT1G02000","GAE2"
"AT1G02010","SEC1A"
"AT1G02020","AT1G02020"
"AT1G02030","AT1G02030"
"AT1G02040","AT1G02040"
"AT1G02050","LAP6"
"AT1G02060","AT1G02060"
"AT1G02065","SPL8"
"AT1G02070","AT1G02070"
"AT1G02074","AT1G02074"
"AT1G02080","AT1G02080"
"AT1G02090","ATCSN7"
"AT1G02100","SBI1"
"AT1G02110","AT1G02110"
"AT1G02120","VAD1"
"AT1G02130","ARA-5"
"AT1G02140","HAP1"
"AT1G02145","ALG12"
"AT1G02150","AT1G02150"
"AT1G02160","AT1G02160"
"AT1G02170","ATMC1"
"AT1G02180","AT1G02180"
"AT1G02190","AT1G02190"
"AT1G02205","CER1"
"AT1G02210","AT1G02210"
"AT1G02220","ANAC003"
"AT1G02230","ANAC004"
"AT1G02250","anac005"
"AT1G02260","AT1G02260"
"AT1G02270","AT1G02270"
"AT1G02280","ATTOC33"
"AT1G02290","AT1G02290"
"AT1G02300","AT1G02300"
"AT1G02305","AT1G02305"
"AT1G02310","MAN1"
"AT1G02320","AT1G02320"
"AT1G02330","AT1G02330"
"AT1G02335","GL22"
"AT1G02340","FBI1"
"AT1G02350","AT1G02350"
"AT1G02360","AT1G02360"
"AT1G02370","AT1G02370"
"AT1G02380","AT1G02380"
"AT1G02390","ATGPAT2"
"AT1G02391","AT1G02391"
"AT1G02400","ATGA2OX4"
"AT1G02405","AT1G02405"
"AT1G02410","AT1G02410"
"AT1G02420","AT1G02420"
"AT1G02430","ARFD1B"
"AT1G02440","ARFD1A"
"AT1G02450","NIMIN-1"
"AT1G02460","AT1G02460"
"AT1G02470","AT1G02470"
"AT1G02475","AT1G02475"
"AT1G02490","AT1G02490"
"AT1G02500","AtSAM1"
"AT1G02510","ATKCO4"
"AT1G02520","ABCB11"
"AT1G02530","ABCB12"
"AT1G02540","AT1G02540"
"AT1G02550","AT1G02550"
"AT1G02560","CLPP5"
"AT1G02570","AT1G02570"
"AT1G02575","AT1G02575"
"AT1G02580","EMB173"
"AT1G02590","AT1G02590"
"AT1G02610","AT1G02610"
"AT1G02620","AT1G02620"
"AT1G02630","AT1G02630"
"AT1G02640","ATBXL2"
"AT1G02650","AT1G02650"
"AT1G02660","AT1G02660"
"AT1G02670","AT1G02670"
"AT1G02680","TAF13"
"AT1G02690","IMPA-6"
"AT1G02700","AT1G02700"
"AT1G02710","AT1G02710"
"AT1G02720","AtGATL5"
"AT1G02730","ATCSLD5"
"AT1G02740","AT1G02740"
"AT1G02750","AT1G02750"
"AT1G02770","AT1G02770"
"AT1G02780","emb2386"
"AT1G02790","PGA4"
"AT1G02800","ATCEL2"
"AT1G02810","AT1G02810"
"AT1G02813","AT1G02813"
"AT1G02816","AT1G02816"
"AT1G02820","AtLEA3"
"AT1G02830","AT1G02830"
"AT1G02840","At-SR34"
"AT1G02850","BGLU11"
"AT1G02860","BAH1"
"AT1G02870","AT1G02870"
"AT1G02880","TPK1"
"AT1G02890","AT1G02890"
"AT1G02900","ATRALF1"
"AT1G02910","LPA1"
"AT1G02920","ATGST11"
"AT1G02930","ATGST1"
"AT1G02940","ATGSTF5"
"AT1G02950","ATGSTF4"
"AT1G02960","AT1G02960"
"AT1G02965","AT1G02965"
"AT1G02970","ATWEE1"
"AT1G02980","ATCUL2"
"AT1G02990","AT1G02990"
"AT1G03000","PEX6"
"AT1G03010","AT1G03010"
"AT1G03020","AT1G03020"
"AT1G03022","AT1G03022"
"AT1G03030","AT1G03030"
"AT1G03040","AT1G03040"
"AT1G03050","AT1G03050"
"AT1G03055","AtD27"
"AT1G03060","SPI"
"AT1G03070","AtLFG4"
"AT1G03080","NET1D"
"AT1G03090","MCCA"
"AT1G03100","AT1G03100"
"AT1G03103","AT1G03103"
"AT1G03106","AT1G03106"
"AT1G03110","AtTRM82"
"AT1G03120","ATRAB28"
"AT1G03130","PSAD-2"
"AT1G03140","AT1G03140"
"AT1G03150","AT1G03150"
"AT1G03160","FZL"
"AT1G03170","FAF2"
"AT1G03180","AT1G03180"
"AT1G03190","ATXPD"
"AT1G03200","AT1G03200"
"AT1G03210","AT1G03210"
"AT1G03220","AT1G03220"
"AT1G03230","AT1G03230"
"AT1G03240","AT1G03240"
"AT1G03250","AT1G03250"
"AT1G03260","AT1G03260"
"AT1G03270","AT1G03270"
"AT1G03280","AT1G03280"
"AT1G03290","AT1G03290"
"AT1G03300","ATDUF1"
"AT1G03310","AtBE2"
"AT1G03320","AT1G03320"
"AT1G03330","LSM2"
"AT1G03340","AT1G03340"
"AT1G03350","AT1G03350"
"AT1G03360","ATRRP4"
